date,race_no,strategy,horse,jockey,odds,model_prob,market_prob,value_ratio,won,pnl,stake
2026-02-19,5,value_bet,翠湖烈風,麥文堅,33.0,0.06286850184300499,0.02461753232466801,2.553810065682643,0,-10.0,10.0
2026-02-19,5,value_bet,祥龍駒,艾兆禮,12.0,0.1025778189319377,0.06769821389283702,1.5152219391535704,0,-10.0,10.0
2026-02-19,5,value_bet,燊輝之星,鍾易禮,33.0,0.05503094004997377,0.02461753232466801,2.235436896119356,0,-10.0,10.0
2026-02-19,5,favourite,跨境駿馬,,3.1,,,,0,-10.0,10.0
2026-02-19,5,model_top,綫路英雄,,3.1,,,,1,21.0,10.0
2026-02-19,6,value_bet,永遠美麗,艾道拿,23.0,0.04609890118225482,0.03498640348373946,1.3176233219764955,0,-10.0,10.0
2026-02-19,6,value_bet,至尊瑰寶,巴度,16.0,0.11020462888091802,0.050292955007875464,2.191253802121209,0,-10.0,10.0
2026-02-19,6,value_bet,桃花開,鍾易禮,5.9,0.2275818828083343,0.13638767459762838,1.6686396588236256,1,49.0,10.0
2026-02-19,6,favourite,喜尊龍,,2.0,,,,0,-10.0,10.0
2026-02-19,6,model_top,喜尊龍,,2.0,,,,0,-10.0,10.0
2026-02-19,7,value_bet,威武年代,紀仁安,8.8,0.1413009073740368,0.09207732043817092,1.5345896981105034,0,-10.0,10.0
2026-02-19,7,value_bet,華麗再贏,鍾易禮,29.0,0.046566759223973235,0.02794070413296221,1.6666279776763926,0,-10.0,10.0
2026-02-19,7,value_bet,星辰千帥,奧爾民,24.0,0.07762982301499903,0.03376168416066267,2.299346876345973,0,-10.0,10.0
2026-02-19,7,value_bet,幸運愉快,潘明輝,13.0,0.08682825494157018,0.06232926306583878,1.3930576212629526,0,-10.0,10.0
2026-02-19,7,favourite,友瑩仁,,3.2,,,,1,22.0,10.0
2026-02-19,7,model_top,友瑩仁,,3.2,,,,1,22.0,10.0
2026-02-19,8,value_bet,寶進,梁家俊,15.0,0.08667370935485078,0.054616149431283054,1.5869611874396583,0,-10.0,10.0
2026-02-19,8,value_bet,價值傳承,麥文堅,24.0,0.06846435377786507,0.0341350933945519,2.0056881926912276,0,-10.0,10.0
2026-02-19,8,value_bet,暴風之子,希威森,65.0,0.027585994197366157,0.012603726791834552,2.1887172463336806,0,-10.0,10.0
2026-02-19,8,favourite,開心指數,,2.9,,,,0,-10.0,10.0
2026-02-19,8,model_top,開心指數,,2.9,,,,0,-10.0,10.0
2026-02-19,9,value_bet,豐辰,紀仁安,11.0,0.14231031201130828,0.07397977882097989,1.923637976205338,0,-10.0,10.0
2026-02-19,9,value_bet,清雲龍駒,潘明輝,20.0,0.07182868226514322,0.04068887835153894,1.7653148765755176,0,-10.0,10.0
2026-02-19,9,favourite,奔放,,4.3,,,,0,-10.0,10.0
2026-02-19,9,model_top,奔放,,4.3,,,,0,-10.0,10.0
2026-02-22,1,value_bet,日出東方,梁家俊,23.0,0.0532631665351866,0.03549922706958737,1.5004035561331366,0,-10.0,10.0
2026-02-22,1,value_bet,中環精英,周俊樂,14.0,0.08617438612669301,0.05832015875717925,1.4776089085334476,0,-10.0,10.0
2026-02-22,1,value_bet,可靠大師,霍宏聲,7.1,0.16878489353291673,0.11499749614091684,1.467726682727851,0,-10.0,10.0
2026-02-22,1,value_bet,喜樂之星,巫顯東,27.0,0.04922059540196186,0.03024008231853739,1.6276607610882488,0,-10.0,10.0
2026-02-22,1,favourite,閃電小子,,3.0,,,,1,20.0,10.0
2026-02-22,1,model_top,閃電小子,,3.0,,,,1,20.0,10.0
2026-02-22,10,value_bet,盈益善,金誠剛,67.0,0.02954831266634639,0.012198554897663848,2.422279762991041,0,-10.0,10.0
2026-02-22,10,value_bet,昭易搵,黃智弘,21.0,0.09057174323298602,0.038919198959213225,2.327173879603841,0,-10.0,10.0
2026-02-22,10,value_bet,穿甲金鷹,艾兆禮,21.0,0.06929450434959732,0.038919198959213225,1.780470980973092,0,-10.0,10.0
2026-02-22,10,value_bet,紫荊拼搏,梁家俊,14.0,0.08006144469076379,0.058378798438819844,1.371413027191148,0,-10.0,10.0
2026-02-22,10,value_bet,開心勇駒,班德禮,10.0,0.11520296135063374,0.0817303178143478,1.4095499005928227,0,-10.0,10.0
2026-02-22,10,favourite,凌登,,2.9,,,,0,-10.0,10.0
2026-02-22,10,model_top,凌登,,2.9,,,,0,-10.0,10.0
2026-02-22,11,value_bet,確好勁,巴度,12.0,0.154053205508402,0.06782600827438688,2.2712998955384065,0,-10.0,10.0
2026-02-22,11,value_bet,哈羅威,艾兆禮,54.0,0.02113349904925963,0.015072446283197085,1.4021280057782968,0,-10.0,10.0
2026-02-22,11,value_bet,韋金主,霍宏聲,10.0,0.11043864391607897,0.08139120992926427,1.3568866221802003,0,-10.0,10.0
2026-02-22,11,value_bet,神馳,麥文堅,17.0,0.13251932637451144,0.04787718231133192,2.767901534237653,0,-10.0,10.0
2026-02-22,11,value_bet,幸運風彩,周俊樂,14.0,0.12060027663514805,0.058136578520903044,2.074430241741628,0,-10.0,10.0
2026-02-22,11,value_bet,勁大威猛,巫顯東,80.0,0.014704248172831303,0.010173901241158034,1.4452910269411665,0,-10.0,10.0
2026-02-22,11,favourite,極上紗瓏,,1.6,,,,1,6.0,10.0
2026-02-22,11,model_top,極上紗瓏,,1.6,,,,1,6.0,10.0
2026-02-22,2,value_bet,大才,周俊樂,33.0,0.09597246450432144,0.024585732209485876,3.9035837406254887,0,-10.0,10.0
2026-02-22,2,value_bet,士登,紀仁安,13.0,0.11650086065334617,0.062409935608694914,1.8667037470411256,0,-10.0,10.0
2026-02-22,2,value_bet,花香月明,金誠剛,56.0,0.041061889616032105,0.014488020766304174,2.8341959387256455,0,-10.0,10.0
2026-02-22,2,value_bet,花果猴王,田泰安,18.0,0.08311112719651216,0.045073842384057435,1.8438882243131878,0,-10.0,10.0
2026-02-22,2,value_bet,魅力知福,班德禮,64.0,0.0317237597675003,0.012677018170516153,2.5024622778629846,0,-10.0,10.0
2026-02-22,2,favourite,踏雪尋梅,,3.4,,,,0,-10.0,10.0
2026-02-22,2,model_top,千杯不醉,,4.0,,,,0,-10.0,10.0
2026-02-22,3,value_bet,光輝歲月,紀仁安,11.0,0.10371266159329515,0.07420593332579521,1.3976330051392656,0,-10.0,10.0
2026-02-22,3,value_bet,富裕君子,黃智弘,13.0,0.14790773172188781,0.06278963589105749,2.3556074123206194,0,-10.0,10.0
2026-02-22,3,value_bet,常多笑,金誠剛,55.0,0.023147028041907942,0.014841186665159042,1.5596480634697207,0,-10.0,10.0
2026-02-22,3,value_bet,鐵甲驌龍,鍾易禮,15.0,0.07511064475370376,0.05441768443891649,1.3802616838284434,0,-10.0,10.0
2026-02-22,3,favourite,特別美麗,,3.5,,,,0,-10.0,10.0
2026-02-22,3,model_top,特別美麗,,3.5,,,,0,-10.0,10.0
2026-02-22,4,value_bet,星際快車,艾兆禮,4.8,0.2692142031749741,0.1675498109906073,1.6067711541021432,1,38.0,10.0
2026-02-22,4,value_bet,年少多好,鍾易禮,24.0,0.060359231194851135,0.03350996219812146,1.8012324465777767,0,-10.0,10.0
2026-02-22,4,value_bet,賢者無敵,奧爾民,29.0,0.043453343378238134,0.027732382508790173,1.5668810050656476,0,-10.0,10.0
2026-02-22,4,favourite,顏色之皇,,1.5,,,,0,-10.0,10.0
2026-02-22,4,model_top,顏色之皇,,1.5,,,,0,-10.0,10.0
2026-02-22,5,value_bet,環球英雄,金誠剛,11.0,0.1082554415673409,0.0735264066339247,1.4723341792878044,0,-10.0,10.0
2026-02-22,5,value_bet,佳佳友,周俊樂,24.0,0.10597094952942913,0.03369960304054882,3.1445756023274307,0,-10.0,10.0
2026-02-22,5,value_bet,歷勝,楊明綸,25.0,0.048576393747544445,0.03235161891892687,1.5015135369045007,0,-10.0,10.0
2026-02-22,5,value_bet,有你有我,巴度,35.0,0.057520135782449404,0.02310829922780491,2.4891548796130647,0,-10.0,10.0
2026-02-22,5,value_bet,海鑽石,布文,26.0,0.10723776085855546,0.031107325883583534,3.447347459562531,0,-10.0,10.0
2026-02-22,5,value_bet,皇者有利,黃智弘,8.8,0.1510221386623693,0.09190800829240589,1.6431880253774127,0,-10.0,10.0
2026-02-22,5,favourite,醒目高球,,1.7,,,,1,7.0,10.0
2026-02-22,5,model_top,醒目高球,,1.7,,,,1,7.0,10.0
2026-02-22,6,value_bet,幸運威龍,艾兆禮,20.0,0.0607422547297325,0.040994430207914316,1.4817196975701763,0,-10.0,10.0
2026-02-22,6,value_bet,鴻圖大展,金誠剛,89.0,0.03823729836889627,0.009212231507396475,3.823729836889627,0,-10.0,10.0
2026-02-22,6,value_bet,紅磚戰士,霍宏聲,19.0,0.08815336272602428,0.04315203179780454,2.04285543584785,0,-10.0,10.0
2026-02-22,6,favourite,友瑩亮,,2.9,,,,1,19.0,10.0
2026-02-22,6,model_top,友瑩亮,,2.9,,,,1,19.0,10.0
2026-02-22,7,value_bet,翹峯,田泰安,5.9,0.21354533034548254,0.13850963826712373,1.5417362503947067,0,-10.0,10.0
2026-02-22,7,value_bet,馬寶寶,何澤堯,8.8,0.12439188557827398,0.09286441656545796,1.3394999955725027,0,-10.0,10.0
2026-02-22,7,value_bet,時尚歡欣,周俊樂,39.0,0.029754155852864728,0.020954022199385386,1.4199734814510916,0,-10.0,10.0
2026-02-22,7,value_bet,增旺,潘明輝,16.0,0.08367673615981103,0.05107542911100188,1.638297271628535,0,-10.0,10.0
2026-02-22,7,value_bet,大回報,紀仁安,14.0,0.1360012213573416,0.058371918984002145,2.3299083484751484,0,-10.0,10.0
2026-02-22,7,value_bet,博愛先鋒,巴度,50.0,0.028054899690009412,0.0163441373155206,1.7165115018562724,0,-10.0,10.0
2026-02-22,7,favourite,都靈冠星,,3.6,,,,0,-10.0,10.0
2026-02-22,7,model_top,翹峯,,5.9,,,,0,-10.0,10.0
2026-02-22,8,value_bet,驕陽明駒,布文,44.0,0.05284395185682402,0.02085977836339514,2.5332940233705883,0,-10.0,10.0
2026-02-22,8,value_bet,金鑽貴人,梁家俊,46.0,0.0774631440886064,0.01995283147803013,3.8823133535658996,0,-10.0,10.0
2026-02-22,8,favourite,嘉應高昇,,1.0,,,,1,0.0,10.0
2026-02-22,8,model_top,嘉應高昇,,1.0,,,,1,0.0,10.0
